Name,City,Address,SourceURL
Roc Presidente,Havana,"Calzada, No. 110 Esq. Av. de los Presidentes, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
SO/ Havana Paseo del Prado,Havana,"Prado San Lazaro and Malecon, Habana Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
SO/ Paseo del Prado La Habana Hotel,Havana,"Ave del Prado, esq San Lazaro y Malecón, Centro Habana, Habana, Cuba 10 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Starfish Montehabana,Havana,"Av 70 entre 5ta y 7ma Av Miramar – Fraccionamiento Miramar, Habana, Cuba 11 300",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Bacuranao,Havana,"Vía Blanca Km 15 ½, Playa Bacuranao, La Habana del Este, Habana, Cuba 10 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Eulalia,Havana,"5ta Avenida Y Calle 6 Miramar, Playa, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Los Pinos,Havana,"Av. De Las Terrazas Sta. Ma. del Mar, Playas del E, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Siboney,Havana,"Calle 11 Esquina 184, Siboney, Playa, La Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Loma,Mayabeque,"Vía Blanca, Km 57 ½, Jibacoa, Santa Cruz del Norte, Mayabeque, Cuba 32 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Villa Trópico,Mayabeque,"Arroyo Bermejo beach KM 60, 12345 Playa Jibacoa, Mayabeque, Cuba 32 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Allegro Palma Real,Matanzas,"1ra Ave. y Calle 64, Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Aparthotel Mar del Sur,Matanzas,"Avenida 3ra y Calle 30, Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Barcelo Solymar,Matanzas,"Carretera Las Américas Km.3, Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Be Live Adults Only Los Cactus,Matanzas,"Carretera Las Américas Km 3 1/2 Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Be Live Experience Las Morlas,Matanzas,"Ave Las Américas, Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
"Be Live Experience Tropical,",Matanzas,"Autopista Sur, Km 11 Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Be Live Experience Turquesa,Matanzas,"Carretera Las Morlas KM 14 ½, Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Be Live Experience Varadero,Matanzas,"Reparto La Torre Ave Las Americas, Varadero, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Blau Marina Varadero Resort (aka Fiesta Americana Punta Varadero & Fiesta Club Adults Only),Matanzas,"Autopista Sur Final Punta Hicacos, Varadero, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Blau Varadero,Matanzas,"Carretera de Las Morlas km.15. Varadero, Matanzas, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Brisas del Caribe,Matanzas,"Carretera Las Morlas, Km 12 1/2, Varadero, Cuba 42 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 1201 PB Acuazul,Matanzas,"Calle 12 E/ 1ra y 2 Avenida, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 1301 Acuazul,Matanzas,"Calle 13 e/ Avenida 1ra y Avenida 2da, Varadero, Matanzas, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 1903 Club Tropical,Matanzas,"Calle 19 entre 2da y 3ra, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2008 Club Tropical,Matanzas,"Avenida 1ra entre 20 y 22, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 21 Club Karey,Matanzas,"Carretera Kawama Final, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2102 Club Tropical,Matanzas,"Calle 21 entre 1ra y 2da, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2104 Club Tropical,Matanzas,"Avenida 1ra entre 21 y 23, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2301 Club Tropical,Matanzas,"Avenida playa 23 e/ 22 y 24, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2303 Club Tropical,Matanzas,"Avenida 1ra Esq. 24, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 2603 Club Tropical,Matanzas,"Calle 26 e % 2da y 3ra, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3204 Los Delfines,Matanzas,"Avenida Playa y Calle 32, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3241-A Acuazul,Matanzas,"Ave. Playa e/ Calle 11 y Calle 12, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3241-B Acuazul,Matanzas,"Ave. Playa e/ Calle 11 y Calle 12, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3242 Acuazul,Matanzas,"Ave. Playa e/ calle 11 y 12, Varadero, Matanzas, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3602 Los Delfines,Matanzas,"Esquina calle 36 y Ave Playa, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Casa 3604 Los Delfines,Matanzas,"Calle 36 y Ave Playa, Varadero, Cuba 42 200 *",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
