schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Person,Jesus Arturo Mejia Arita,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former general manager of the Honduran National Electric Energy Company (ENEE), engaged in significant corruption by awarding non-competitive or overpriced contracts for the generation of electricity and other energy-related services in exchange for bribes, and by facilitating corrupt schemes related to the hiring and firing of ENEE employees in exchange for kickbacks.",2023,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Jimi Rodolfo Bremer Ramírez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a current judge, undermined democratic processes or institutions by authorizing politically motivated criminal charges against journalists for exercising their freedom of expression as protected by Guatemalan law.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Jolman Alexander Ayala,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former compliance officer of Banco Hipotecario, a state-owned bank, engaged in significant corruption by laundering $177 million in exchange for $78,000 in bribes.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Jorge Estuardo Vargas Morales,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative, engaged in significant corruption and undermined democratic processes or institutions when he engaged in bribery, coercion, and influence peddling.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Jorge Luis Arias Jarquin,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a prosecutor in the Public Prosecutor’s Office headquarters in Managua, undermined democratic processes or institutions by bringing spurious charges in order to jail regime opponents in the leadup to national elections.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,José Aquiles Enrique Rais López,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,engaged in significant corruption and undermined democratic processes or institutions by bribing public officials.,2021,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Jose Celin Discua Elvir,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative, engaged in significant corruption when he misappropriated funds from the Secretariat of Agriculture to political campaigns.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Jose Ernesto Sanabria,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current Presidential Press Secretary, undermined democratic processes or institutions by using his position and wielding the Presidency’s influence to inappropriately pressure officials in opposition political parties to resign on threat of being charged with criminal offenses.",2022,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,José Luis Benito Ruiz,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the former Minister of Communications and Infrastructure from 2018-2020, engaged in significant corruption when he solicited, accepted, and offered bribes in order to maintain his official position and receive kickbacks from contractors, and facilitated the transfer of proceeds of corruption.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,José Luis Merino,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Vice Minister for Foreign Investment and Development Financing, engaged in significant corruption during his term in office through bribery. He also participated in a money laundering scheme.",2021,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Jose Miguel “Mecafe” Antonio Menendez Avelar,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former president of the Center for Fairs and Conventions, engaged in significant corruption by steering an $8.4 million Ministry of Public Works contract for the construction of a bridge in Chalatenango Department, El Salvador, to a Guatemalan businessman. In return, Menendez illegally received a small plane, a Beechcraft King Air 90, as a gift.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Jose Porfirio “Pepe” Lobo Sosa,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former president of Honduras, engaged in significant corruption while president when he accepted bribes from the narco-trafficking organization Los Cachiros in exchange for political favors.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Jose Rafael Curruchiche Cacul (Rafael Curruchiche),,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current chief of the Public Ministry’s Office of the Special Prosecutor Against Impunity (FECI), obstructed investigations into acts of corruption by disrupting high-profile corruption cases against government officials and raising apparently spurious claims against FECI prosecutors, private attorneys, and former International Commission Against Impunity in Guatemala (CICIG) prosecutors.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Jose Wilfredo Salgado Garcia,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Mayor of San Miguel, undermined democratic processes or institutions when he used his official position to participate in drug trafficking and money laundering while mayor of San Miguel, El Salvador’s second largest city. Salgado used his connections with city law enforcement to intimidate his electoral opponent’s family.",2022,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Joviel Acevedo Ayala,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current head of Guatemalan Education Workers Union (STEG), engaged in significant corruption by providing STEG’s political support in exchange for bribes from public officials.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Juan Carlos “El Tigre” Bonilla Valladares,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Director of the National Police from 2012 to 2013, engaged in significant corruption when he used his position as Director of the National Police to facilitate movement of cocaine through Honduras in exchange for bribes.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Juan Carlos Godinez Rodriguez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"lawyer and former member of a congressional commission in charge of selecting Supreme Court magistrates, undermined democratic processes or institutions by abusing his authority to inappropriately influence and manipulate the appointment of judges to high court positions.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Juan Carlos Valenzuela Molina,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative. He was indicted in the Arca Abierta MACCIH-investigated corruption case for embezzling $800,000 from various government agencies.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Juan Ramon Maradiaga,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"General Manager of the National Bank for Agricultural Development (BANADESA) from 2010 to 2014, transferred proceeds of corruption when he aided the misappropriation of more than $500,000 from Bono 10 Mil, a presidential project aimed at reducing rural poverty.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Leonor Eugenia Morales Lazo,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current prosecutor, undermined democratic processes or institutions by leading a politically motivated investigation to cast doubt on certified election results to disrupt the presidential transition.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Lesther Castellanos Rodas,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former judge and current Guatemalan Rapporteur against Torture, undermined democratic processes or institutions by retaliating against an anticorruption prosecutor for filing administrative complaints concerning Castellanos’s handling of a criminal case.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
